Croatian,English,Word Frequency
je,is,8496117
da,that,6765902
ne,not,4132126
se,is,4011403
i,and,3661082
u,in,3650538
to,it,3236950
sam,himself,2985576
što,what,2496292
na,on,2118868
ti,you,1796482
za,for,1716329
mi,me,1674924
si,Si,1614317
li,li,1583987
ja,I,1331918
su,are,1215542
ali,but,1184078
nije,Not,1120242
s,with,984410
samo,only,946065
ga,him,928871
me,me,895683
od,from,889129
a,And,884298
bi,would,878569
ovo,this,870035
kako,how,859349
te,you,859247
će,will,818424
o,on,809414
dobro,good,766040
ako,if,753009
smo,we,743030
sa,with,734637
sve,all,714003
kao,as,683963
ću,I'll,671736
biti,be,617456
tako,so,614626
znam,I know,603899
ste,you are,600748
nisam,I am not,584183
ovdje,here,582750
bio,was,577603
mogu,I can,565137
pa,and,529306
zašto,why,527281
on,he,520049
još,more,503602
redu,order,495499
bilo,either,478606
nešto,something,477028
kad,when,462631
koji,who,461629
vas,your,453969
mislim,I think,414723
hvala,thank you,410831
iz,from,407749
ili,or,391064
možda,maybe,386400
ih,them,369780
gdje,where,369724
ima,have,366035
vam,you,363123
više,more,362698
znaš,You know,360720
rekao,said,351485
sada,now,347456
moj,my,346368
onda,then,344002
bih,BiH,340779
tko,who,326110
mu,him,325599
ćemo,we will,325431
do,to,321867
nema,No,318970
bila,was,318747
ništa,nothing,316203
zar,right,312496
nas,our,312096
ona,she,310378
želim,I want to,307119
malo,little,301565
mene,me,300051
može,can,281355
vi,you,274973
molim,I pray,274474
kada,when,273432
reći,say,272658
šta,what,268705
jer,because,266710
prije,ago,266090
tebe,you,262794
hej,hey,261050
imam,I have a,257821
možeš,You can,257170
sad,now,256587
tu,here,256576
ćeš,you will,254718
